metro,corridor_id,legacy_corridor_id,corridor_name,district,level,object_form,form,character,dominant_audience,gateway_dependency,neighborhood_momentum,timing_alpha,safety_day,safety_evening,safety_late_night,weekday_am,weekday_midday,weekday_evening,late_night,weekend_day,path_of_travel_friction,transit_car_orientation,halo_strength,chain_dominance,cafe_whitespace,qsr_whitespace,fast_casual_whitespace,fitness_whitespace,beauty_wellness_whitespace,grocery_convenience_whitespace,shock_resilience,seasonality_amplitude,event_dependency,development_dependency,office_routine,hybrid_remote,family_household,morning_commuters,car_errands,weekend_brunch,young_social_cohort
Dallas–Fort Worth,D03D1D801189,dfw.cedar_hill,Cedar Hill–Uptown Village,Southern,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,Escarpment-edge hill suburb where the Uptown Village lifestyle node serves family households above Joe Pool Lake and the state-park trail base.,"RESIDENTS, SHOPPERS, COMMUTERS",MODERATE,57,58,78,72,64,55,60,62,15,70,42,6,42,82,62,48,55,55,58,45,66,20,10,45,3,5,8,7,9,6,5
Dallas–Fort Worth,D1036023646E,dfw.duncanville,Duncanville,Southern,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,Established first-ring southern suburb holding steady on a Main Street spine with big-box freeway edges and strong civic identity per capita.,"RESIDENTS, COMMUTERS, SHOPPERS",LOW,46,52,74,66,58,50,55,55,12,58,35,6,28,80,62,45,58,55,58,48,68,15,10,30,3,4,8,6,8,5,4
Dallas–Fort Worth,D16075309213,dfw.wylie_sachse,Wylie–Sachse,Collin County,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,"Northeast Collin family belt on the SH-78 and Bush Turnpike edges, growing fast from working subdivisions toward the Lavon Lake shore.","RESIDENTS, COMMUTERS",MODERATE,70,62,80,76,66,48,52,55,12,60,48,5,30,80,70,55,60,55,60,55,72,15,10,65,2,4,8,5,7,4,3
Dallas–Fort Worth,D183BD1B66A0,dfw.mansfield,Mansfield,Arlington,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Fast-growing family suburb on the US 287 spine, with a small historic main street and master-planned edges still pushing south into Johnson County prairie.","RESIDENTS, SHOPPERS, COMMUTERS",MODERATE,78,65,85,80,72,55,55,60,12,75,32,8,35,82,72,38,58,55,62,45,75,20,10,70,3,6,9,6,9,7,4
Dallas–Fort Worth,D4719E70BE68,dfw.grand_prairie,Grand Prairie,Irving-Mid-Cities,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Working family suburb straddling the Dallas–Tarrant county line, with outlet, lakeside and Asian-market retail pulling regional weekend traffic.","RESIDENTS, SHOPPERS, COMMUTERS",LOW,58,60,62,55,45,50,55,55,18,68,40,6,30,80,70,55,65,65,65,55,65,25,35,50,3,3,7,4,8,5,4
Dallas–Fort Worth,D4A8ABC9B0CD,dfw.frisco_star,Frisco–The Star,Collin County,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,"Boomtown's corporate-sports node at The Star and Toyota Stadium, with HALL Park and Frisco Station offices feeding a controlled-host retail ring.","WORKERS, TOURISTS, RESIDENTS",MODERATE,88,50,86,82,74,60,76,75,32,85,42,12,78,80,40,45,35,45,40,45,55,25,65,80,7,6,8,5,8,7,6
Dallas–Fort Worth,DA66A12A29AD,dfw.tcu_area,TCU–Bluebonnet,Fort Worth West,MACRO,MULTI_SPINE_DISTRICT,STANDARD_URBAN,"Private-campus village on Berry Street and Bluebonnet Circle, ringed by established pre-war neighborhoods; game-day surges are a campus-zone overlay, not the baseline.","STUDENTS, RESIDENTS, SHOPPERS",LOW,64,42,80,76,64,68,75,78,45,80,32,12,55,50,45,35,40,50,55,50,68,38,30,45,3,6,8,5,7,7,7
Dallas–Fort Worth,E55E05FB7381,dfw.east_dallas_gaston,East Dallas–Gaston,Dallas East-South,MACRO,LINEAR_SPINE,STANDARD_URBAN,"Baylor hospital's employment engine on a working eastside retail spine, with historic-district infill edging in from Peak's Addition and Junius Heights.","RESIDENTS, WORKERS, COMMUTERS",LOW,58,58,65,58,45,65,62,45,20,45,30,20,35,60,55,50,60,55,55,40,65,15,15,45,4,5,6,6,8,5,4
Dallas–Fort Worth,EBB0B15F20BA,dfw.oak_cliff,Oak Cliff–Jefferson,Dallas East-South,MACRO,LINEAR_SPINE,STANDARD_URBAN,"Latino-first shopping spine where quinceanera retail and taquerias outdraw the chains, with Bishop Arts' indie halo pushing east along the boulevard.","RESIDENTS, SHOPPERS, COMMUTERS",MODERATE,58,58,62,54,42,55,60,65,35,78,35,18,45,35,45,40,55,55,35,38,65,15,10,45,3,5,7,5,8,8,5
Dallas–Fort Worth,F9EE42A7CFA1,dfw.forest_hill,Forest Hill–Everman,Tarrant East,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Working south-Tarrant pair of small cities along I-35W and SE Loop 820, with value retail serving its own rooftops and little through-draw.","RESIDENTS, COMMUTERS",MODERATE,44,58,60,52,42,50,45,55,10,55,35,6,22,78,68,42,62,60,58,58,65,12,6,20,2,3,7,4,8,4,2
Dallas–Fort Worth,FA639069A19E,dfw.desoto_lancaster,DeSoto–Lancaster,Southern,MACRO,MULTI_SPINE_DISTRICT,EXTENDED_CAR_ORIENTED,"Established Black middle-class family suburbs on the I-35E spine, with two small heritage squares holding local identity beneath the chain frontage.","RESIDENTS, COMMUTERS, SHOPPERS",LOW,55,62,72,65,56,50,55,55,12,60,38,12,30,78,68,45,62,58,62,50,68,15,8,35,4,5,8,7,9,5,4
Dallas–Fort Worth,FA905F87FEAB,dfw.southlake_colleyville,Southlake–Colleyville,Airport-Southlake,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,Executive-family suburbs anchored by Southlake Town Square's curated retail and the Westlake corporate campuses along 114.,"RESIDENTS, SHOPPERS, WORKERS",LOW,55,42,93,90,86,55,55,60,12,70,30,8,70,70,55,30,50,45,50,25,80,15,10,25,6,7,9,6,9,8,4
Dallas–Fort Worth,FE50B29ADF66,dfw.garland,Garland–Downtown Garland,North-East,MACRO,MULTI_SPINE_DISTRICT,EXTENDED_CAR_ORIENTED,Large first-ring working suburb: an indie-leaning historic square and DART Blue Line edge against chain-dominated arterials and Firewheel lifestyle retail.,"RESIDENTS, SHOPPERS, COMMUTERS",LOW,55,60,70,64,56,55,60,60,20,65,42,28,38,72,62,38,55,55,58,45,66,20,20,45,3,4,7,6,9,5,5
